GROUP,TOPIC,PARTITION,CURRENT-OFFSET,LOG-END-OFFSET,LAG
demo-consumer-group,topic-1000,93,39,43,4
demo-consumer-group,topic-1000,589,36,37,1
demo-consumer-group,topic-1000,404,32,33,1
demo-consumer-group,topic-1000,827,34,34,0
demo-consumer-group,topic-1000,839,41,42,1
demo-consumer-group,topic-1000,628,40,41,1
demo-consumer-group,topic-1000,881,34,35,1
demo-consumer-group,topic-1000,521,34,35,1
demo-consumer-group,topic-1000,215,41,42,1
demo-consumer-group,topic-1000,528,39,40,1
demo-consumer-group,topic-1000,656,36,39,3
demo-consumer-group,topic-1000,537,28,31,3
demo-consumer-group,topic-1000,843,32,34,2
demo-consumer-group,topic-1000,696,28,30,2
demo-consumer-group,topic-1000,319,48,51,3
demo-consumer-group,topic-1000,508,45,45,0
demo-consumer-group,topic-1000,772,31,33,2
demo-consumer-group,topic-1000,400,31,32,1
demo-consumer-group,topic-1000,492,39,41,2
demo-consumer-group,topic-1000,469,30,32,2
demo-consumer-group,topic-1000,769,36,37,1
demo-consumer-group,topic-1000,803,31,32,1
demo-consumer-group,topic-1000,632,42,43,1
demo-consumer-group,topic-1000,249,39,41,2
demo-consumer-group,topic-1000,218,31,32,1
demo-consumer-group,topic-1000,260,27,28,1
demo-consumer-group,topic-1000,612,28,31,3
demo-consumer-group,topic-1000,453,43,45,2
demo-consumer-group,topic-1000,746,45,46,1
demo-consumer-group,topic-1000,226,28,29,1
demo-consumer-group,topic-1000,272,36,36,0
demo-consumer-group,topic-1000,616,43,46,3
demo-consumer-group,topic-1000,317,37,38,1
demo-consumer-group,topic-1000,585,34,35,1
demo-consumer-group,topic-1000,930,36,37,1
demo-consumer-group,topic-1000,885,34,35,1
demo-consumer-group,topic-1000,660,31,33,2
demo-consumer-group,topic-1000,873,40,42,2
demo-consumer-group,topic-1000,77,32,33,1
demo-consumer-group,topic-1000,451,41,41,0
demo-consumer-group,topic-1000,792,41,44,3
demo-consumer-group,topic-1000,924,34,36,2
demo-consumer-group,topic-1000,188,28,30,2
demo-consumer-group,topic-1000,701,38,38,0
demo-consumer-group,topic-10,5,5208,5596,388
demo-consumer-group,topic-1000,995,36,38,2
demo-consumer-group,topic-1000,63,34,37,3
demo-consumer-group,topic-1000,236,32,33,1
demo-consumer-group,topic-1000,571,39,41,2
demo-consumer-group,topic-1000,35,31,32,1
demo-consumer-group,topic-1000,323,36,37,1
demo-consumer-group,topic-1000,266,37,38,1
demo-consumer-group,topic-1000,948,41,43,2
demo-consumer-group,topic-1000,410,37,38,1
demo-consumer-group,topic-1000,202,36,36,0
demo-consumer-group,topic-1000,919,31,33,2
demo-consumer-group,topic-1000,555,42,44,2
demo-consumer-group,topic-1000,964,38,39,1
demo-consumer-group,topic-1000,212,30,30,0
demo-consumer-group,topic-1000,573,42,43,1
demo-consumer-group,topic-1000,483,33,34,1
demo-consumer-group,topic-1000,34,29,29,0
demo-consumer-group,topic-1000,911,55,59,4
demo-consumer-group,topic-1000,920,31,33,2
demo-consumer-group,topic-1000,311,38,39,1
demo-consumer-group,topic-1000,320,41,41,0
demo-consumer-group,topic-1000,325,34,34,0
demo-consumer-group,topic-1000,534,40,42,2
demo-consumer-group,topic-10,9,5288,5612,324
demo-consumer-group,topic-1000,241,30,32,2
demo-consumer-group,topic-1000,499,36,39,3
demo-consumer-group,topic-1000,209,27,30,3
demo-consumer-group,topic-1000,518,31,33,2
demo-consumer-group,topic-1000,998,40,41,1
demo-consumer-group,topic-1000,9,41,41,0
demo-consumer-group,topic-1000,175,36,38,2
demo-consumer-group,topic-1000,458,32,34,2
demo-consumer-group,topic-1000,225,41,44,3
demo-consumer-group,topic-1000,201,33,37,4
demo-consumer-group,topic-1000,556,34,37,3
demo-consumer-group,topic-1000,242,23,23,0
demo-consumer-group,topic-1000,667,28,28,0
demo-consumer-group,topic-1000,697,31,32,1
demo-consumer-group,topic-1000,914,44,45,1
demo-consumer-group,topic-1000,23,34,34,0
demo-consumer-group,topic-1000,674,29,30,1
demo-consumer-group,topic-1000,729,50,51,1
demo-consumer-group,topic-1000,730,31,32,1
demo-consumer-group,topic-1000,890,40,42,2
demo-consumer-group,topic-1000,738,33,34,1
demo-consumer-group,topic-1000,388,30,32,2
demo-consumer-group,topic-1000,0,37,39,2
demo-consumer-group,topic-1000,132,40,40,0
demo-consumer-group,topic-1000,756,28,28,0
demo-consumer-group,topic-1000,764,38,41,3
demo-consumer-group,topic-1000,335,40,41,1
demo-consumer-group,topic-1000,256,23,24,1
demo-consumer-group,topic-1000,708,47,50,3
demo-consumer-group,topic-1000,57,28,30,2
demo-consumer-group,topic-1000,972,32,37,5
demo-consumer-group,topic-1000,384,43,45,2
demo-consumer-group,topic-1000,938,39,44,5
demo-consumer-group,topic-1000,851,27,28,1
demo-consumer-group,topic-1000,793,37,40,3
demo-consumer-group,topic-1000,128,36,38,2
demo-consumer-group,topic-1000,276,37,40,3
demo-consumer-group,topic-1000,339,35,36,1
demo-consumer-group,topic-1000,300,41,42,1
demo-consumer-group,topic-1000,847,41,43,2
demo-consumer-group,topic-1000,971,44,46,2
demo-consumer-group,topic-1000,645,34,35,1
demo-consumer-group,topic-1000,735,31,32,1
demo-consumer-group,topic-1000,780,37,37,0
demo-consumer-group,topic-1000,678,39,41,2
demo-consumer-group,topic-1000,423,38,40,2
demo-consumer-group,topic-1000,558,50,50,0
demo-consumer-group,topic-1000,533,34,35,1
demo-consumer-group,topic-1000,302,32,33,1
demo-consumer-group,topic-1000,661,39,43,4
demo-consumer-group,topic-1000,671,46,49,3
demo-consumer-group,topic-1000,517,27,31,4
demo-consumer-group,topic-1000,649,36,38,2
demo-consumer-group,topic-1000,162,34,37,3
demo-consumer-group,topic-1000,622,39,39,0
demo-consumer-group,topic-1000,504,27,30,3
demo-consumer-group,topic-1000,370,34,34,0
demo-consumer-group,topic-1000,633,37,38,1
demo-consumer-group,topic-1000,752,37,41,4
